,Indicator,Continent,Country,Year,Gender,Cause,Average_death_Value
39,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zambia,2016,Male,"Trachea, bronchus, lung cancers",0.118
40,Ambient air pollution attributable death rate (per 100 000 population),Africa,Comoros,2016,Both sexes,"Trachea, bronchus, lung cancers",0.125
41,Ambient air pollution attributable death rate (per 100 000 population),Africa,Côte d’Ivoire,2016,Both sexes,"Trachea, bronchus, lung cancers",0.12233333333333334
42,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Female,"Trachea, bronchus, lung cancers",0.12266666666666666
43,Ambient air pollution attributable death rate (per 100 000 population),Africa,Togo,2016,Both sexes,"Trachea, bronchus, lung cancers",0.11966666666666666
44,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea-Bissau,2016,Female,"Trachea, bronchus, lung cancers",0.123
45,Ambient air pollution attributable death rate (per 100 000 population),Africa,Democratic Republic of the Congo,2016,Male,"Trachea, bronchus, lung cancers",0.12
46,Ambient air pollution attributable death rate (per 100 000 population),Africa,Lesotho,2016,Female,"Trachea, bronchus, lung cancers",0.12366666666666666
47,Ambient air pollution attributable death rate (per 100 000 population),Africa,Burundi,2016,Male,"Trachea, bronchus, lung cancers",0.12433333333333334
48,Ambient air pollution attributable death rate (per 100 000 population),Africa,Chad,2016,Both sexes,"Trachea, bronchus, lung cancers",0.11833333333333333
49,Ambient air pollution attributable death rate (per 100 000 population),Africa,Senegal,2016,Female,"Trachea, bronchus, lung cancers",0.125
50,Ambient air pollution attributable death rate (per 100 000 population),Africa,Niger,2016,Male,"Trachea, bronchus, lung cancers",0.12
51,Ambient air pollution attributable death rate (per 100 000 population),Africa,Nigeria,2016,Male,"Trachea, bronchus, lung cancers",0.12066666666666666
52,Ambient air pollution attributable death rate (per 100 000 population),Africa,Nigeria,2016,Both sexes,"Trachea, bronchus, lung cancers",0.124
54,Ambient air pollution attributable death rate (per 100 000 population),Africa,Angola,2016,Male,"Trachea, bronchus, lung cancers",0.13166666666666668
55,Ambient air pollution attributable death rate (per 100 000 population),Africa,Burundi,2016,Both sexes,"Trachea, bronchus, lung cancers",0.13166666666666668
56,Ambient air pollution attributable death rate (per 100 000 population),Africa,Burundi,2016,Female,"Trachea, bronchus, lung cancers",0.13233333333333333
57,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mali,2016,Female,"Trachea, bronchus, lung cancers",0.1366666666666667
58,Ambient air pollution attributable death rate (per 100 000 population),Africa,Nigeria,2016,Female,"Trachea, bronchus, lung cancers",0.12766666666666668
59,Ambient air pollution attributable death rate (per 100 000 population),Africa,Central African Republic,2016,Female,"Trachea, bronchus, lung cancers",0.131
60,Ambient air pollution attributable death rate (per 100 000 population),Africa,Chad,2016,Male,"Trachea, bronchus, lung cancers",0.13166666666666668
61,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mozambique,2016,Both sexes,"Trachea, bronchus, lung cancers",0.14500000000000002
62,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea-Bissau,2016,Both sexes,"Trachea, bronchus, lung cancers",0.1426666666666667
63,Ambient air pollution attributable death rate (per 100 000 population),Africa,Congo,2016,Both sexes,"Trachea, bronchus, lung cancers",0.1426666666666667
64,Ambient air pollution attributable death rate (per 100 000 population),Africa,Côte d’Ivoire,2016,Male,"Trachea, bronchus, lung cancers",0.15033333333333332
65,Ambient air pollution attributable death rate (per 100 000 population),Africa,Madagascar,2016,Female,"Trachea, bronchus, lung cancers",0.15366666666666665
66,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Both sexes,"Trachea, bronchus, lung cancers",0.152
67,Ambient air pollution attributable death rate (per 100 000 population),Africa,Somalia,2016,Female,"Trachea, bronchus, lung cancers",0.152
68,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea-Bissau,2016,Male,"Trachea, bronchus, lung cancers",0.15566666666666665
69,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gambia,2016,Both sexes,"Trachea, bronchus, lung cancers",0.15266666666666664
70,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritania,2016,Both sexes,"Trachea, bronchus, lung cancers",0.15
71,Ambient air pollution attributable death rate (per 100 000 population),Africa,Rwanda,2016,Female,"Trachea, bronchus, lung cancers",0.15
72,Ambient air pollution attributable death rate (per 100 000 population),Africa,Rwanda,2016,Both sexes,"Trachea, bronchus, lung cancers",0.15033333333333332
73,Ambient air pollution attributable death rate (per 100 000 population),Africa,Rwanda,2016,Male,"Trachea, bronchus, lung cancers",0.154
74,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sudan,2016,Female,"Trachea, bronchus, lung cancers",0.15166666666666664
76,Ambient air pollution attributable death rate (per 100 000 population),Africa,Somalia,2016,Both sexes,"Trachea, bronchus, lung cancers",0.16033333333333333
77,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mali,2016,Both sexes,"Trachea, bronchus, lung cancers",0.16166666666666665
78,Ambient air pollution attributable death rate (per 100 000 population),Africa,Togo,2016,Male,"Trachea, bronchus, lung cancers",0.16166666666666665
79,Ambient air pollution attributable death rate (per 100 000 population),Africa,Burkina Faso,2016,Female,"Trachea, bronchus, lung cancers",0.162
80,Ambient air pollution attributable death rate (per 100 000 population),Africa,Senegal,2016,Both sexes,"Trachea, bronchus, lung cancers",0.163
83,Ambient air pollution attributable death rate (per 100 000 population),Africa,Eswatini,2016,Both sexes,"Trachea, bronchus, lung cancers",0.17566666666666667
84,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zimbabwe,2016,Both sexes,"Trachea, bronchus, lung cancers",0.17733333333333334
85,Ambient air pollution attributable death rate (per 100 000 population),Africa,Comoros,2016,Male,"Trachea, bronchus, lung cancers",0.17766666666666667
86,Ambient air pollution attributable death rate (per 100 000 population),Africa,Somalia,2016,Male,"Trachea, bronchus, lung cancers",0.169
87,Ambient air pollution attributable death rate (per 100 000 population),Africa,Burkina Faso,2016,Both sexes,"Trachea, bronchus, lung cancers",0.17
89,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mozambique,2016,Male,"Trachea, bronchus, lung cancers",0.18533333333333335
90,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Male,"Trachea, bronchus, lung cancers",0.18333333333333335
91,Ambient air pollution attributable death rate (per 100 000 population),Africa,Namibia,2016,Female,"Trachea, bronchus, lung cancers",0.18666666666666668
92,Ambient air pollution attributable death rate (per 100 000 population),Africa,Congo,2016,Male,"Trachea, bronchus, lung cancers",0.18000000000000002
93,Ambient air pollution attributable death rate (per 100 000 population),Africa,Burkina Faso,2016,Male,"Trachea, bronchus, lung cancers",0.18333333333333335
94,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mali,2016,Male,"Trachea, bronchus, lung cancers",0.18666666666666668
95,Ambient air pollution attributable death rate (per 100 000 population),Africa,Cameroon,2016,Female,"Trachea, bronchus, lung cancers",0.17666666666666667
96,Ambient air pollution attributable death rate (per 100 000 population),Africa,Central African Republic,2016,Both sexes,"Trachea, bronchus, lung cancers",0.19333333333333336
97,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritania,2016,Male,"Trachea, bronchus, lung cancers",0.19333333333333336
99,Ambient air pollution attributable death rate (per 100 000 population),Africa,Cabo Verde,2016,Female,"Trachea, bronchus, lung cancers",0.20333333333333334
100,Ambient air pollution attributable death rate (per 100 000 population),Africa,Senegal,2016,Male,"Trachea, bronchus, lung cancers",0.20333333333333334
101,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ghana,2016,Both sexes,"Trachea, bronchus, lung cancers",0.20666666666666667
103,Ambient air pollution attributable death rate (per 100 000 population),Africa,Uganda,2016,Male,"Trachea, bronchus, lung cancers",0.20999999999999996
104,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Sudan,2016,Female,"Trachea, bronchus, lung cancers",0.2133333333333333
108,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gambia,2016,Male,"Trachea, bronchus, lung cancers",0.2233333333333333
109,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sudan,2016,Both sexes,"Trachea, bronchus, lung cancers",0.21999999999999997
110,Ambient air pollution attributable death rate (per 100 000 population),Africa,Uganda,2016,Both sexes,"Trachea, bronchus, lung cancers",0.21999999999999997
111,Ambient air pollution attributable death rate (per 100 000 population),Africa,Uganda,2016,Female,"Trachea, bronchus, lung cancers",0.2233333333333333
112,Ambient air pollution attributable death rate (per 100 000 population),Africa,Cameroon,2016,Both sexes,"Trachea, bronchus, lung cancers",0.2233333333333333
113,Ambient air pollution attributable death rate (per 100 000 population),Africa,Eswatini,2016,Male,"Trachea, bronchus, lung cancers",0.24333333333333332
115,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Sudan,2016,Both sexes,"Trachea, bronchus, lung cancers",0.24
116,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zimbabwe,2016,Male,"Trachea, bronchus, lung cancers",0.25666666666666665
117,Ambient air pollution attributable death rate (per 100 000 population),Africa,Lesotho,2016,Both sexes,"Trachea, bronchus, lung cancers",0.25333333333333335
119,Ambient air pollution attributable death rate (per 100 000 population),Africa,Namibia,2016,Both sexes,"Trachea, bronchus, lung cancers",0.26
121,Ambient air pollution attributable death rate (per 100 000 population),Africa,Cabo Verde,2016,Both sexes,"Trachea, bronchus, lung cancers",0.26333333333333336
122,Ambient air pollution attributable death rate (per 100 000 population),Africa,Central African Republic,2016,Male,"Trachea, bronchus, lung cancers",0.26
123,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Sudan,2016,Male,"Trachea, bronchus, lung cancers",0.26
124,Ambient air pollution attributable death rate (per 100 000 population),Africa,Eritrea,2016,Male,"Trachea, bronchus, lung cancers",0.26666666666666666
127,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ethiopia,2016,Male,"Trachea, bronchus, lung cancers",0.2733333333333334
128,Ambient air pollution attributable death rate (per 100 000 population),Africa,Eritrea,2016,Both sexes,"Trachea, bronchus, lung cancers",0.2733333333333334
129,Ambient air pollution attributable death rate (per 100 000 population),Africa,Eritrea,2016,Female,"Trachea, bronchus, lung cancers",0.27666666666666667
130,Ambient air pollution attributable death rate (per 100 000 population),Africa,Cameroon,2016,Male,"Trachea, bronchus, lung cancers",0.27
131,Ambient air pollution attributable death rate (per 100 000 population),Africa,Botswana,2016,Both sexes,"Trachea, bronchus, lung cancers",0.29000000000000004
132,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ethiopia,2016,Both sexes,"Trachea, bronchus, lung cancers",0.2866666666666667
137,Ambient air pollution attributable death rate (per 100 000 population),Africa,Equatorial Guinea,2016,Female,"Trachea, bronchus, lung cancers",0.29
138,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sudan,2016,Male,"Trachea, bronchus, lung cancers",0.29333333333333333
141,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ethiopia,2016,Female,"Trachea, bronchus, lung cancers",0.3033333333333333
145,Ambient air pollution attributable death rate (per 100 000 population),Africa,Cabo Verde,2016,Male,"Trachea, bronchus, lung cancers",0.3233333333333333
146,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ghana,2016,Male,"Trachea, bronchus, lung cancers",0.33
147,Ambient air pollution attributable death rate (per 100 000 population),Africa,Namibia,2016,Male,"Trachea, bronchus, lung cancers",0.33666666666666667
150,Ambient air pollution attributable death rate (per 100 000 population),Africa,Tunisia,2016,Female,"Trachea, bronchus, lung cancers",0.3466666666666667
158,Ambient air pollution attributable death rate (per 100 000 population),Africa,Djibouti,2016,Male,"Trachea, bronchus, lung cancers",0.37666666666666665
163,Ambient air pollution attributable death rate (per 100 000 population),Africa,Lesotho,2016,Male,"Trachea, bronchus, lung cancers",0.38999999999999996
164,Ambient air pollution attributable death rate (per 100 000 population),Africa,Djibouti,2016,Both sexes,"Trachea, bronchus, lung cancers",0.38000000000000006
165,Ambient air pollution attributable death rate (per 100 000 population),Africa,Djibouti,2016,Female,"Trachea, bronchus, lung cancers",0.3866666666666667
172,Ambient air pollution attributable death rate (per 100 000 population),Africa,Madagascar,2016,Both sexes,"Trachea, bronchus, lung cancers",0.42333333333333334
176,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gabon,2016,Female,"Trachea, bronchus, lung cancers",0.4266666666666666
178,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritius,2016,Female,"Trachea, bronchus, lung cancers",0.4466666666666666
182,Ambient air pollution attributable death rate (per 100 000 population),Africa,Morocco,2016,Female,"Trachea, bronchus, lung cancers",0.4466666666666666
185,Ambient air pollution attributable death rate (per 100 000 population),Africa,Equatorial Guinea,2016,Both sexes,"Trachea, bronchus, lung cancers",0.45
188,Ambient air pollution attributable death rate (per 100 000 population),Africa,Botswana,2016,Male,"Trachea, bronchus, lung cancers",0.47
205,Ambient air pollution attributable death rate (per 100 000 population),Africa,Algeria,2016,Female,"Trachea, bronchus, lung cancers",0.5266666666666667
212,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sao Tome and Principe,2016,Female,"Trachea, bronchus, lung cancers",0.5533333333333333
216,Ambient air pollution attributable death rate (per 100 000 population),Africa,Equatorial Guinea,2016,Male,"Trachea, bronchus, lung cancers",0.5766666666666667
226,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gabon,2016,Both sexes,"Trachea, bronchus, lung cancers",0.6466666666666666
240,Ambient air pollution attributable death rate (per 100 000 population),Africa,Madagascar,2016,Male,"Trachea, bronchus, lung cancers",0.7000000000000001
272,Ambient air pollution attributable death rate (per 100 000 population),Africa,Seychelles,2016,Female,"Trachea, bronchus, lung cancers",0.8666666666666667
274,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gabon,2016,Male,"Trachea, bronchus, lung cancers",0.8633333333333333
283,Ambient air pollution attributable death rate (per 100 000 population),Africa,Egypt,2016,Female,"Trachea, bronchus, lung cancers",0.8799999999999999
306,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mozambique,2016,Female,Chronic obstructive pulmonary disease,1.0233333333333334
308,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sao Tome and Principe,2016,Both sexes,"Trachea, bronchus, lung cancers",1.0
312,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Female,Chronic obstructive pulmonary disease,1.0233333333333334
322,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Both sexes,Chronic obstructive pulmonary disease,1.0533333333333335
329,Ambient air pollution attributable death rate (per 100 000 population),Africa,Liberia,2016,Male,Chronic obstructive pulmonary disease,1.0933333333333335
331,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Male,Chronic obstructive pulmonary disease,1.08
332,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritius,2016,Both sexes,"Trachea, bronchus, lung cancers",1.1066666666666667
342,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mozambique,2016,Both sexes,Chronic obstructive pulmonary disease,1.1333333333333335
352,Ambient air pollution attributable death rate (per 100 000 population),Africa,Malawi,2016,Female,Chronic obstructive pulmonary disease,1.1833333333333333
356,Ambient air pollution attributable death rate (per 100 000 population),Africa,Liberia,2016,Both sexes,Chronic obstructive pulmonary disease,1.1966666666666665
373,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mozambique,2016,Male,Chronic obstructive pulmonary disease,1.2533333333333332
389,Ambient air pollution attributable death rate (per 100 000 population),Africa,Liberia,2016,Female,Chronic obstructive pulmonary disease,1.3
396,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Africa,2016,Female,"Trachea, bronchus, lung cancers",1.2966666666666666
401,Ambient air pollution attributable death rate (per 100 000 population),Africa,Malawi,2016,Both sexes,Chronic obstructive pulmonary disease,1.3500000000000003
405,Ambient air pollution attributable death rate (per 100 000 population),Africa,Algeria,2016,Both sexes,"Trachea, bronchus, lung cancers",1.3399999999999999
410,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zambia,2016,Female,Chronic obstructive pulmonary disease,1.3966666666666667
429,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zambia,2016,Both sexes,Chronic obstructive pulmonary disease,1.4733333333333334
430,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sao Tome and Principe,2016,Male,"Trachea, bronchus, lung cancers",1.4566666666666668
436,Ambient air pollution attributable death rate (per 100 000 population),Africa,Somalia,2016,Female,Chronic obstructive pulmonary disease,1.4800000000000002
439,Ambient air pollution attributable death rate (per 100 000 population),Africa,Comoros,2016,Female,Chronic obstructive pulmonary disease,1.5233333333333334
441,Ambient air pollution attributable death rate (per 100 000 population),Africa,Malawi,2016,Male,Chronic obstructive pulmonary disease,1.5266666666666666
449,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zambia,2016,Male,Chronic obstructive pulmonary disease,1.5533333333333335
465,Ambient air pollution attributable death rate (per 100 000 population),Africa,United Republic of Tanzania,2016,Female,Chronic obstructive pulmonary disease,1.6166666666666665
467,Ambient air pollution attributable death rate (per 100 000 population),Africa,Angola,2016,Male,Chronic obstructive pulmonary disease,1.6166666666666665
468,Ambient air pollution attributable death rate (per 100 000 population),Africa,Egypt,2016,Both sexes,"Trachea, bronchus, lung cancers",1.5666666666666667
494,Ambient air pollution attributable death rate (per 100 000 population),Africa,Burkina Faso,2016,Male,Chronic obstructive pulmonary disease,1.6766666666666667
504,Ambient air pollution attributable death rate (per 100 000 population),Africa,United Republic of Tanzania,2016,Both sexes,Chronic obstructive pulmonary disease,1.7333333333333332
507,Ambient air pollution attributable death rate (per 100 000 population),Africa,Seychelles,2016,Both sexes,"Trachea, bronchus, lung cancers",1.7466666666666668
510,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritius,2016,Male,"Trachea, bronchus, lung cancers",1.7733333333333334
511,Ambient air pollution attributable death rate (per 100 000 population),Africa,Angola,2016,Both sexes,Chronic obstructive pulmonary disease,1.75
526,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Africa,2016,Both sexes,"Trachea, bronchus, lung cancers",1.8133333333333332
527,Ambient air pollution attributable death rate (per 100 000 population),Africa,Comoros,2016,Both sexes,Chronic obstructive pulmonary disease,1.8533333333333335
530,Ambient air pollution attributable death rate (per 100 000 population),Africa,United Republic of Tanzania,2016,Male,Chronic obstructive pulmonary disease,1.8499999999999999
534,Ambient air pollution attributable death rate (per 100 000 population),Africa,Burkina Faso,2016,Both sexes,Chronic obstructive pulmonary disease,1.843333333333333
535,Ambient air pollution attributable death rate (per 100 000 population),Africa,Angola,2016,Female,Chronic obstructive pulmonary disease,1.876666666666667
555,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Male,Stroke,1.92
564,Ambient air pollution attributable death rate (per 100 000 population),Africa,Somalia,2016,Both sexes,Chronic obstructive pulmonary disease,1.9833333333333334
565,Ambient air pollution attributable death rate (per 100 000 population),Africa,Morocco,2016,Both sexes,"Trachea, bronchus, lung cancers",1.9633333333333332
575,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zimbabwe,2016,Female,Chronic obstructive pulmonary disease,2.0366666666666666
579,Ambient air pollution attributable death rate (per 100 000 population),Africa,Algeria,2016,Female,Chronic obstructive pulmonary disease,2.0
582,Ambient air pollution attributable death rate (per 100 000 population),Africa,Burkina Faso,2016,Female,Chronic obstructive pulmonary disease,2.013333333333333
587,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gabon,2016,Female,Ischaemic heart disease,10.03
588,Ambient air pollution attributable death rate (per 100 000 population),Africa,Comoros,2016,Male,Ischaemic heart disease,9.976666666666667
598,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mali,2016,Both sexes,Ischaemic heart disease,10.086666666666666
599,Ambient air pollution attributable death rate (per 100 000 population),Africa,Malawi,2016,Male,Lower respiratory infections,10.326666666666668
602,Ambient air pollution attributable death rate (per 100 000 population),Africa,Chad,2016,Female,Ischaemic heart disease,10.173333333333332
614,Ambient air pollution attributable death rate (per 100 000 population),Africa,Botswana,2016,Female,Ischaemic heart disease,10.256666666666666
616,Ambient air pollution attributable death rate (per 100 000 population),Africa,Madagascar,2016,Both sexes,Lower respiratory infections,10.51
617,Ambient air pollution attributable death rate (per 100 000 population),Africa,Senegal,2016,Female,Ischaemic heart disease,10.24
618,Ambient air pollution attributable death rate (per 100 000 population),Africa,Equatorial Guinea,2016,Female,Ischaemic heart disease,10.306666666666667
621,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mozambique,2016,Female,Lower respiratory infections,10.633333333333333
622,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea,2016,Female,Ischaemic heart disease,10.38
624,Ambient air pollution attributable death rate (per 100 000 population),Africa,Senegal,2016,Both sexes,Ischaemic heart disease,10.38
626,Ambient air pollution attributable death rate (per 100 000 population),Africa,Tunisia,2016,Male,Stroke,10.726666666666667
629,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea,2016,Both sexes,Ischaemic heart disease,10.42
635,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea,2016,Male,Ischaemic heart disease,10.5
636,Ambient air pollution attributable death rate (per 100 000 population),Africa,Senegal,2016,Male,Ischaemic heart disease,10.51
641,Ambient air pollution attributable death rate (per 100 000 population),Africa,Niger,2016,Female,Ischaemic heart disease,10.606666666666667
644,Ambient air pollution attributable death rate (per 100 000 population),Africa,Madagascar,2016,Male,Lower respiratory infections,10.906666666666666
646,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gambia,2016,Both sexes,Ischaemic heart disease,10.69
651,Ambient air pollution attributable death rate (per 100 000 population),Africa,Eswatini,2016,Both sexes,Lower respiratory infections,11.086666666666668
654,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mozambique,2016,Both sexes,Lower respiratory infections,10.996666666666664
666,Ambient air pollution attributable death rate (per 100 000 population),Africa,Central African Republic,2016,Female,Stroke,10.973333333333334
671,Ambient air pollution attributable death rate (per 100 000 population),Africa,Djibouti,2016,Female,Ischaemic heart disease,10.866666666666667
673,Ambient air pollution attributable death rate (per 100 000 population),Africa,Equatorial Guinea,2016,Both sexes,Ischaemic heart disease,10.9
676,Ambient air pollution attributable death rate (per 100 000 population),Africa,Lesotho,2016,Both sexes,Ischaemic heart disease,10.936666666666667
681,Ambient air pollution attributable death rate (per 100 000 population),Africa,Cameroon,2016,Both sexes,Ischaemic heart disease,11.023333333333333
682,Ambient air pollution attributable death rate (per 100 000 population),Africa,Liberia,2016,Male,Lower respiratory infections,11.416666666666666
684,Ambient air pollution attributable death rate (per 100 000 population),Africa,Egypt,2016,Male,Lower respiratory infections,11.036666666666667
